Date;Close
25/02/2013;393.908539
26/02/2013;393.589722
27/02/2013;398.396698
28/02/2013;399.104065
01/03/2013;401.589752
04/03/2013;409.216156
05/03/2013;417.734222
06/03/2013;414.137695
07/03/2013;414.745422
08/03/2013;414.207458
11/03/2013;415.851288
12/03/2013;412.259735
13/03/2013;411.114044
14/03/2013;409.236084
15/03/2013;405.629608
18/03/2013;402.386749
19/03/2013;404.145172
20/03/2013;405.833832
21/03/2013;404.115265
22/03/2013;403.642059
25/03/2013;403.308289
26/03/2013;404.693115
27/03/2013;399.831329
28/03/2013;395.612152
01/04/2013;399.099091
02/04/2013;405.001953
03/04/2013;401.594727
04/04/2013;396.050507
05/04/2013;390.062958
08/04/2013;385.978271
09/04/2013;387.373016
10/04/2013;393.614624
11/04/2013;393.719238
12/04/2013;393.549866
15/04/2013;389.505035
16/04/2013;395.203674
17/04/2013;389.818878
18/04/2013;381.524963
19/04/2013;398.441528
22/04/2013;398.561096
23/04/2013;402.441559
24/04/2013;405.206177
25/04/2013;403.039307
26/04/2013;399.213654
29/04/2013;408.000702
30/04/2013;410.745422
01/05/2013;408.683167
02/05/2013;413.256012
03/05/2013;421.280945
06/05/2013;429.166382
07/05/2013;427.014435
08/05/2013;435.183838
09/05/2013;434.112854
10/05/2013;438.471497
13/05/2013;437.126556
14/05/2013;441.893677
15/05/2013;456.234924
16/05/2013;450.247375
17/05/2013;452.892456
20/05/2013;452.568665
21/05/2013;451.791565
22/05/2013;443.049347
23/05/2013;439.746735
24/05/2013;435.029388
28/05/2013;438.989563
29/05/2013;432.533752
30/05/2013;433.754181
31/05/2013;433.983337
03/06/2013;432.195038
04/06/2013;427.945953
05/06/2013;428.244843
06/06/2013;430.705597
07/06/2013;438.222443
10/06/2013;443.447845
11/06/2013;438.262299
12/06/2013;434.361908
13/06/2013;436.862518
14/06/2013;435.886200
17/06/2013;441.470276
18/06/2013;448.628418
19/06/2013;448.658325
20/06/2013;440.718079
21/06/2013;438.820190
24/06/2013;433.270996
25/06/2013;431.482697
26/06/2013;435.193787
27/06/2013;436.897400
28/06/2013;438.541229
01/07/2013;442.282227
02/07/2013;439.507629
03/07/2013;441.559937
05/07/2013;445.076752
08/07/2013;450.855072
09/07/2013;450.929810
10/07/2013;451.303406
11/07/2013;458.401794
12/07/2013;459.776642
15/07/2013;460.618500
16/07/2013;458.087982
17/07/2013;457.559967
18/07/2013;453.639648
19/07/2013;446.625946
22/07/2013;453.649597
23/07/2013;450.212494
24/07/2013;449.764160
25/07/2013;442.192566
26/07/2013;441.021942
29/07/2013;439.487701
30/07/2013;443.796539
31/07/2013;442.217468
01/08/2013;450.421722
02/08/2013;451.592316
05/08/2013;450.810242
06/08/2013;446.610992
07/08/2013;443.662048
08/08/2013;444.663300
09/08/2013;443.542480
12/08/2013;441.101654
13/08/2013;438.979584
14/08/2013;433.280945
15/08/2013;428.224915
16/08/2013;426.855042
19/08/2013;431.208710
20/08/2013;431.094147
21/08/2013;433.041840
22/08/2013;435.223663
23/08/2013;433.480225
26/08/2013;431.577332
27/08/2013;423.487671
28/08/2013;422.690643
29/08/2013;426.117798
30/08/2013;421.868744
03/09/2013;428.583557
04/09/2013;434.187561
05/09/2013;438.137756
06/09/2013;438.147705
09/09/2013;442.366913
10/09/2013;442.675751
11/09/2013;446.421692
12/09/2013;444.862549
13/09/2013;442.875000
16/09/2013;442.222443
17/09/2013;441.400513
18/09/2013;449.973389
19/09/2013;447.517609
20/09/2013;449.868774
23/09/2013;441.594788
24/09/2013;441.764160
25/09/2013;436.977112
26/09/2013;437.445343
27/09/2013;436.558685
30/09/2013;436.319580
01/10/2013;441.843872
02/10/2013;442.337006
03/10/2013;436.409241
04/10/2013;434.546204
07/10/2013;431.253571
08/10/2013;425.241089
09/10/2013;426.332001
10/10/2013;432.498901
11/10/2013;434.366882
14/10/2013;436.419189
15/10/2013;439.358185
16/10/2013;447.338257
17/10/2013;442.735504
18/10/2013;503.816559
21/10/2013;499.776703
22/10/2013;501.619812
23/10/2013;513.779236
24/10/2013;510.860168
25/10/2013;505.704498
28/10/2013;505.604858
29/10/2013;516.185181
30/10/2013;513.286072
31/10/2013;513.365784
01/11/2013;511.602386
04/11/2013;511.139130
